DATA-JOGO;JOGO_ID;CASA_ID;PONTOS_CASA;ARREM_PCT_CASA;LANC_LIV_PCT_CASA;ARREM_3PT_PCT_CASA;ASSISTS_CASA;REBOTES_CASA;VISITANTE_ID;PONTOS_VISIT;ARREM_PCT_VISIT;LANC_LIV_PCT_VISIT;ARREM_3PT_PCT_VISIT;ASSISTS_VISIT;REBOTES_VISIT;TIME_VENCEDOR
02/01/2020;21900513;1610612742;123.0;0.506;0.882;0.474;22.0;46.0;1610612751;111.0;0.462;0.882;0.324;29.0;44.0;CASA
02/01/2020;21900514;1610612759;103.0;0.435;0.833;0.419;22.0;45.0;1610612760;109.0;0.483;0.7;0.36;19.0;43.0;VISITANTE
02/01/2020;21900515;1610612758;128.0;0.489;0.8390000000000001;0.412;26.0;41.0;1610612763;123.0;0.484;0.952;0.382;31.0;42.0;CASA
02/01/2020;21900516;1610612746;126.0;0.5429999999999999;0.7140000000000001;0.393;29.0;51.0;1610612765;112.0;0.426;0.7140000000000001;0.212;20.0;45.0;CASA
01/01/2020;21900504;1610612764;101.0;0.379;0.8390000000000001;0.29;18.0;46.0;1610612753;122.0;0.474;0.741;0.375;25.0;52.0;VISITANTE
01/01/2020;21900505;1610612752;117.0;0.48;0.643;0.389;29.0;55.0;1610612757;93.0;0.39399999999999996;0.6;0.313;17.0;47.0;CASA
01/01/2020;21900506;1610612749;106.0;0.426;0.654;0.25;24.0;60.0;1610612750;104.0;0.374;0.75;0.326;18.0;48.0;CASA
01/01/2020;21900507;1610612747;117.0;0.478;0.706;0.25;25.0;45.0;1610612756;107.0;0.488;0.7390000000000001;0.261;32.0;47.0;CASA
31/12/2019;21900497;1610612766;92.0;0.395;0.75;0.353;25.0;41.0;1610612738;109.0;0.45399999999999996;0.7;0.368;25.0;54.0;VISITANTE
31/12/2019;21900498;1610612754;115.0;0.488;0.769;0.44;35.0;38.0;1610612755;97.0;0.40700000000000003;0.85;0.207;24.0;47.0;CASA
31/12/2019;21900499;1610612758;87.0;0.413;0.684;0.28600000000000003;20.0;41.0;1610612746;105.0;0.409;0.955;0.33299999999999996;21.0;51.0;VISITANTE
31/12/2019;21900500;1610612761;117.0;0.47600000000000003;0.8;0.436;29.0;45.0;1610612739;97.0;0.425;0.813;0.263;21.0;41.0;CASA
31/12/2019;21900501;1610612745;130.0;0.529;0.71;0.47100000000000003;20.0;43.0;1610612743;104.0;0.46399999999999997;0.667;0.32;25.0;39.0;CASA
31/12/2019;21900502;1610612759;117.0;0.469;0.765;0.452;30.0;53.0;1610612744;113.0;0.45799999999999996;0.722;0.444;31.0;44.0;CASA
